ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Wiki_Bio
25,Angel Salvadore,1,Female,brown,,Black,Marvel Comics,,163.0,54.0,"angel salvadore-bohusk is a fictional character appearing in american comic books published by marvel comics. created by grant morrison and ethan van sciver, the character first appeared  in new x-men #118 (november 2001)."
28,Annihilus,0,Male,green,,No Hair,Marvel Comics,,180.0,90.0,"annihilus () is a supervillain appearing in american comic books published by marvel comics, primarily as an adversary to the fantastic four. the character debuted in fantastic four annual #6, which was published in november 1968."
29,Ant-Man,1,Male,blue,Human,Blond,Marvel Comics,,211.0,122.0,"ant-man is the name of several superheroes appearing in books published by marvel comics.


== publication history ==
created by stan lee, larry lieber and jack kirby, his first appearance was in tales to astonish #27 (january 1962) as dr."
30,Ant-Man II,1,Male,blue,Human,Blond,Marvel Comics,,183.0,86.0,"ant-man (scott edward harris lang) is a  fictional character appearing in american comic books published by marvel comics. created by david michelinie, bob layton and john byrne, scott lang first appeared in the avengers #181 (march 1979) and in marvel premiere #47 (april 1979) as the second superhero character to use the ant-man name in the marvel universe."
34,Apocalypse,0,Male,red,Mutant,Black,Marvel Comics,grey,213.0,135.0,"apocalypse (en sabah nur) is a supervillain appearing in american comic books published by marvel comics. he is one of the world's first mutants, and was a principal villain for the original x-factor team and later the x-men and related spin-off teams."
38,Arachne,1,Female,blue,Human,Blond,Marvel Comics,,175.0,63.0,"julia carpenter is a superhero appearing in american comic books published by marvel comics. created by jim shooter and mike zeck, the character first appeared in secret wars #6 (october 1984)."
39,Archangel,1,Male,blue,Mutant,Blond,Marvel Comics,blue,183.0,68.0,"warren kenneth worthington iii is a superhero appearing in american comic books published by marvel comics. created by writer stan lee and artist jack kirby, the character first appeared in the x-men #1 (september 1963)."
40,Arclight,0,Female,violet,,Purple,Marvel Comics,,173.0,57.0,"arclight (philippa sontag) is a supervillain appearing in american comic books published by marvel comics. created by writer chris claremont and artist john romita jr., the character first appeared in uncanny x-men #210 as a shadow, making a full appearance in uncanny x-men #211 (november 1986)."
41,Ardina,1,Female,white,Alien,Orange,Marvel Comics,gold,193.0,98.0,"ardina is a character appearing in american comic books published by marvel comics.


== fictional character biography ==
the defenders were told by papa hagg that they needed female analogs to counter the order, and they found analogs of all the order except for the silver surfer."
42,Ares,1,Male,brown,,Brown,Marvel Comics,,185.0,270.0,"ares is a fictional character, a deity appearing in american comic books published by marvel comics. the character is based on the greek god of the same name."
43,Ariel,1,Female,purple,,Pink,Marvel Comics,,165.0,59.0,"venom, also known formally as ""the symbiote"", is a character appearing in american comic books published by marvel comics. the character is a sentient alien symbiote with an amorphous, liquid-like form, who survives by bonding with a host, usually human."
44,Armor,1,Female,black,,Black,Marvel Comics,,163.0,50.0,"armor (hisako ichiki (市来 久子, ichiki hisako)) is a superhero appearing in american comic books published by marvel comics. created by joss whedon and john cassaday, the character first appeared in astonishing x-men vol."
47,Atlas,1,Male,brown,Mutant,Red,Marvel Comics,,183.0,101.0,"marvel masterworks is an american collection of hardcover and trade paperback comic book reprints published by marvel comics, with the main goal of republishing classic marvel comics storylines in a hardcover, premium edition, often with restored artwork and better graphical quality when compared to other marvel collected editions. the collection started in 1987, with volumes reprinting the issues of the amazing spider-man, the fantastic four, the x-men, and the avengers."
55,Aurora,1,Female,blue,Mutant,Black,Marvel Comics,,180.0,63.0,"aurora (french: aurore) (jeanne-marie beaubier) is a superhero appearing in american comic books published by marvel comics. created by chris claremont and john byrne, the character first appeared in the uncanny x-men #120 (april 1979)."
56,Azazel,0,Male,yellow,Neyaphem,Black,Marvel Comics,red,183.0,67.0,"azazel is a supervillain appearing in american comic books published by marvel comics. created by chuck austen and sean philips, the character first appeared in uncanny x-men #428 (august 2003)."
60,Banshee,1,Male,green,Human,Strawberry Blond,Marvel Comics,,183.0,77.0,"banshee (sean cassidy) is a fictional superhero appearing in american comic books published by marvel comics, commonly in association with the x-men. created by writer roy thomas and artist werner roth, the character first appeared in x-men #28 (jan."
61,Bantam,1,Male,brown,,Black,Marvel Comics,,165.0,54.0,"
== nakia bahadir ==

nakia bahadir is a character appearing in american comic books published by marvel comics. she is a turkish girl and friend of kamala khan."
71,Battlestar,1,Male,brown,,Black,Marvel Comics,,198.0,133.0,"battlestar (lemar hoskins) is a superhero appearing in american comic books published by marvel comics. created by mark gruenwald and paul neary, the character made his first appearance in captain america #323 (1986)."
73,Beak,1,Male,black,,White,Marvel Comics,,175.0,63.0,"beck david hansen (born bek  campbell; july 8, 1970), known mononymously as beck, is an american singer, songwriter, and record producer. he rose to fame in the early 1990s with his experimental and lo-fi style, and became known for creating musical collages of wide-ranging genres."
74,Beast,1,Male,blue,Mutant,Blue,Marvel Comics,blue,180.0,181.0,no data
76,Beetle,0,Male,,,,Marvel Comics,,183.0,83.0,"
== nakia bahadir ==

nakia bahadir is a character appearing in american comic books published by marvel comics. she is a turkish girl and friend of kamala khan."
78,Beta Ray Bill,1,Male,,,No Hair,Marvel Comics,,201.0,216.0,"beta ray bill is a fictional superhero appearing in american comic books published by marvel comics. debuting in the bronze age of comic books, the character was initially intended to be a surprise; an apparent monster who unexpectedly turns out to be a great hero."
79,Beyonder,1,Male,,God / Eternal,,Marvel Comics,,183.0,83.0,"the beyonder () is a fictional cosmic entity appearing in american comic books published by marvel comics. created by writer jim shooter and artist mike zeck, the beyonder first appeared in secret wars #1 (may 1984) as an unseen, nigh-omnipotent being from outside the multiverse who kidnapped the heroes and villains of the marvel universe to have them do battle on battleworld, a fictional planet created by the beyonder."
82,Big Man,0,Male,blue,,Brown,Marvel Comics,,165.0,71.0,whiplash is the name of multiple supervillains appearing in american comic books published by marvel comics. they are commonly depicted as members of iron man's rogues gallery.
85,Binary,1,Female,blue,,Blond,Marvel Comics,,180.0,54.0,"carol susan jane danvers is a character appearing in american comic books published by marvel comics. created by writer roy thomas and artist gene colan, the character first appeared as an officer in the united states air force and a colleague of the kree superhero mar-vell in marvel super-heroes #13 (march 1968)."
87,Bird-Brain,1,,,,,Marvel Comics,,183.0,83.0,"bird-brain is a character appearing in american comic books published by marvel comics, primarily in association with the new mutants. he was introduced in a story arc lasting from the new mutants #56 to issue #61 as an ally of the new mutants who resembles an anthropomorphic bird and was among the ani-mates created by the ani-mator, a mad geneticist."
88,Bird-Man,0,Male,,Human,,Marvel Comics,,183.0,83.0,"the vulture is the alias of several supervillains appearing in american comic books published by marvel comics, most of whom are depicted as enemies of the superhero spider-man and part of his adversaries composing his rogues gallery, typically using special suits which allow them to fly at vast speeds.
the first incarnation of the character, isidoro scarlotti, is an italian scientist and an enemy of the original human torch and toro."
89,Bird-Man II,0,Male,,Human,,Marvel Comics,,183.0,83.0,"the vulture is the alias of several supervillains appearing in american comic books published by marvel comics, most of whom are depicted as enemies of the superhero spider-man and part of his adversaries composing his rogues gallery, typically using special suits which allow them to fly at vast speeds.
the first incarnation of the character, isidoro scarlotti, is an italian scientist and an enemy of the original human torch and toro."
91,Bishop,1,Male,brown,Mutant,No Hair,Marvel Comics,,198.0,124.0,"bishop is a character appearing in american comic books published by marvel comics. created by writer john byrne and artist whilce portacio, the character first appeared in the uncanny x-men #282 (november 1991)."
93,Black Abbott,0,Male,red,,Black,Marvel Comics,,183.0,83.0,"
== nakia bahadir ==

nakia bahadir is a character appearing in american comic books published by marvel comics. she is a turkish girl and friend of kamala khan."
95,Black Bolt,1,Male,blue,Inhuman,Black,Marvel Comics,,188.0,95.0,"black bolt (blackagar boltagon) is a fictional character appearing in american comic books published by marvel comics. created by stan lee and jack kirby, the character first appeared in fantastic four #45 (december 1965)."
98,Black Cat,1,Female,green,Human,Blond,Marvel Comics,,178.0,54.0,"black cat is a character appearing in american comic books published by marvel comics. created by marv wolfman and dave cockrum, the character first appeared in the amazing spider-man #194 in july 1979 as an adversary of the superhero spider-man, although she later becomes his on-off love interest and ally."
100,Black Goliath,1,Male,,,,Marvel Comics,,183.0,83.0,"goliath is a superhero comic book identity in marvel comics.


== character history ==
the goliath identity has been used by various superheroes:


=== henry pym ===

henry ""hank"" pym was the first to utilize the goliath name."
101,Black Knight III,1,Male,brown,Human,Brown,Marvel Comics,,183.0,86.0,"storm is a superhero appearing in american comic books published by marvel comics. created by writer len wein and artist dave cockrum, the character first appeared in giant-size x-men #1 (may 1975)."
103,Black Mamba,0,Female,green,,Black,Marvel Comics,,170.0,52.0,black mamba (tanya sealy) is a supervillain appearing in american comic books published by marvel comics. she first appeared in marvel two-in-one #64 (june 1980) created by writers mark gruenwald and ralph macchio.
105,Black Panther,1,Male,brown,Human,Black,Marvel Comics,,183.0,90.0,"black panther is a superhero appearing in american comic books published by marvel comics. created by writer-editor stan lee and artist-coplotter jack kirby, the character first appeared in fantastic four #52, published in july 1966."
106,Black Widow,1,Female,green,Human,Auburn,Marvel Comics,,170.0,59.0,"black widow is the name of several fictional characters appearing in american comic books published by marvel comics. most of these versions exist in marvel's main shared universe, known as the marvel universe."
107,Black Widow II,1,Female,blue,,Blond,Marvel Comics,,170.0,61.0,"black widow is the name of several fictional characters appearing in american comic books published by marvel comics. most of these versions exist in marvel's main shared universe, known as the marvel universe."
108,Blackout,0,Male,red,Demon,White,Marvel Comics,white,191.0,104.0,"blackout is a supervillain appearing in american comic books published by marvel comics. he is depicted as a half-demon, and is the second character to use the name, an arcane blessing which bestows vampiric powers."
109,Blackwing,0,Male,blue,,Black,Marvel Comics,,185.0,86.0,blackwing is the name of two supervillains and one hero appearing in american comic books published by marvel comics. the first version is silvermane's son joseph manfredi.
111,Blade,1,Male,brown,Vampire,Black,Marvel Comics,,188.0,97.0,"blade (birth name: eric cross brooks;) is a fictional character and antihero appearing in american comic books published by marvel comics. created by writer marv wolfman and penciller gene colan, his first appearance was in the comic book the tomb of dracula #10 (july 1973) as a supporting character, but he later went on to star in his own storylines."
112,Blaquesmith,1,,black,,No Hair,Marvel Comics,,183.0,83.0,"hope summers is a character appearing in american comic books published by marvel comics. created by mike carey and chris bachalo, the character first appeared in x-men #205 (jan 2008, during the ""x-men: messiah complex"" storyline)."
113,Bling!,1,Female,,,,Marvel Comics,,168.0,68.0,no data
114,Blink,1,Female,green,Mutant,Magenta,Marvel Comics,pink,165.0,56.0,"blink (clarice ferguson) is a superheroine appearing in american comic books published by marvel comics. created by writer scott lobdell and artist joe madureira, blink is the pink-skinned mutant leader of the exiles, a group tasked with correcting problems in various alternate worlds and divergent timelines in the marvel multiverse."
115,Blizzard,0,Male,,,,Marvel Comics,,183.0,83.0,"blizzard is the name of several fictional characters appearing in american comic books published by marvel comics, who are primarily enemies of iron man.
the donnie gill incarnation has had the most appearances, appearing in several forms of animated media and video games as well as a live-action incarnation in the marvel cinematic universe tv series agents of s.h.i.e.l.d., portrayed by dylan minnette, though the gregor shapanka and randy macklin incarnations have also appeared in animation."
116,Blizzard,0,Male,,,Brown,Marvel Comics,,183.0,83.0,"blizzard is the name of several fictional characters appearing in american comic books published by marvel comics, who are primarily enemies of iron man.
the donnie gill incarnation has had the most appearances, appearing in several forms of animated media and video games as well as a live-action incarnation in the marvel cinematic universe tv series agents of s.h.i.e.l.d., portrayed by dylan minnette, though the gregor shapanka and randy macklin incarnations have also appeared in animation."
117,Blizzard II,0,Male,brown,,Brown,Marvel Comics,,175.0,77.0,"blizzard is the name of several fictional characters appearing in american comic books published by marvel comics, who are primarily enemies of iron man.
the donnie gill incarnation has had the most appearances, appearing in several forms of animated media and video games as well as a live-action incarnation in the marvel cinematic universe tv series agents of s.h.i.e.l.d., portrayed by dylan minnette, though the gregor shapanka and randy macklin incarnations have also appeared in animation."
118,Blob,0,Male,brown,,Brown,Marvel Comics,,178.0,230.0,"the blob (frederick j. ""fred"" dukes) is a fictional character appearing in american comic books published by marvel comics. the character is usually depicted as an adversary of the x-men."
119,Bloodaxe,0,Female,blue,Human,Brown,Marvel Comics,,218.0,495.0,bloodaxe (jackie lukus) is a supervillain appearing in american comic books published by marvel comics. the character is usually depicted as a foe of thor and thunderstrike.
120,Bloodhawk,1,Male,black,Mutant,No Hair,Marvel Comics,,183.0,83.0,"
== nakia bahadir ==

nakia bahadir is a character appearing in american comic books published by marvel comics. she is a turkish girl and friend of kamala khan."
121,Bloodwraith,0,Male,white,,No Hair,Marvel Comics,,30.5,83.0,"
== nakia bahadir ==

nakia bahadir is a character appearing in american comic books published by marvel comics. she is a turkish girl and friend of kamala khan."
127,Bolt,1,Male,,,,Marvel Comics,,183.0,83.0,"black bolt (blackagar boltagon) is a fictional character appearing in american comic books published by marvel comics. created by stan lee and jack kirby, the character first appeared in fantastic four #45 (december 1965)."
129,Boom-Boom,1,Female,blue,Mutant,Blond,Marvel Comics,,165.0,55.0,boom! studios (stylized as boom!
130,Boomer,1,Female,,,,Marvel Comics,,183.0,83.0,"marvel comics is an american comic book publisher, a property of the walt disney company since december 31, 2009, and a subsidiary of disney publishing worldwide since march 2023. marvel was founded in 1939 by martin goodman as timely comics, and by 1951 had generally become known as atlas comics."
132,Box,1,Male,,,,Marvel Comics,,183.0,83.0,"marvel comics is a publisher of american comic books and related media. it counts among its characters such well-known superheroes as spider-man, wolverine, iron man, captain america, thor, hulk, black panther, doctor strange, ant-man, daredevil, and deadpool, and such teams as the avengers, the x-men, the fantastic four, and the guardians of the galaxy."
133,Box III,1,,blue,,Blond,Marvel Comics,,193.0,110.0,"galactus () is a fictional character appearing in american comic books published by marvel comics. formerly a mortal man, he is a cosmic entity who consumes planets to sustain his life force, and serves a functional role in the upkeep of the primary marvel continuity."
134,Box IV,1,,brown,,Brown / Black,Marvel Comics,,183.0,83.0,"galactus () is a fictional character appearing in american comic books published by marvel comics. formerly a mortal man, he is a cosmic entity who consumes planets to sustain his life force, and serves a functional role in the upkeep of the primary marvel continuity."
137,Brother Voodoo,1,Male,brown,Human,Brown / White,Marvel Comics,,183.0,99.0,dr. jericho drumm is a fictional character appearing in american comic books published by marvel comics.
140,Bullseye,0,Male,blue,Human,blond,Marvel Comics,,183.0,90.0,"bullseye is a supervillain appearing in american comic books published by marvel comics. created by writer marv wolfman and artist john romita sr., the character first appeared in daredevil #131 (1976)."
142,Bumbleboy,1,Male,,,,Marvel Comics,,183.0,83.0,"a bumblebee (or bumble bee, bumble-bee, or humble-bee) is any of over 250 species in the genus bombus, part of apidae, one of the bee families. this genus is the only extant group in the tribe bombini, though a few extinct related genera (e.g., calyptapis) are known from fossils."
144,Cable,1,Male,blue,Mutant,White,Marvel Comics,,203.0,158.0,"cable (nathan christopher charles summers) is a character appearing in american comic books published by marvel comics, commonly in association with x-force and the x-men. nathan first appeared as an infant in uncanny x-men #201 (jan."
145,Callisto,0,Female,blue,,Black,Marvel Comics,,175.0,74.0,"callisto is a superhero appearing in american comic books published by marvel comics. created by writer chris claremont and artist paul smith, the character first appeared in the uncanny x-men #169 (may 1983)."
147,Cannonball,1,Male,blue,,Blond,Marvel Comics,,183.0,81.0,"cannonball (samuel zachary ""sam"" guthrie) is a superhero appearing in american comic books published by marvel comics. created by writer chris claremont and artist bob mcleod, the character first appeared in marvel graphic novel #4 (september 1982)."
148,Captain America,1,Male,blue,Human,blond,Marvel Comics,,188.0,108.0,"captain america is a superhero created by joe simon and jack kirby who appears in american comic books published by marvel comics. the character first appeared in captain america comics #1, published on december 20, 1940, by timely comics, a corporate predecessor to marvel."
150,Captain Britain,1,Male,blue,Human,Blond,Marvel Comics,,198.0,116.0,"captain britain is a title used by various superheroes in comic books published by marvel comics, commonly in association with the excalibur team of superheroes. the moniker was first used in publication by brian braddock in captain britain #1 by writer chris claremont and artist herb trimpe, and is currently held by brian's twin sister, betsy braddock."
154,Captain Mar-vell,1,Male,blue,,Blond,Marvel Comics,,188.0,108.0,"captain marvel (real name: mar-vell; earth alias walter lawson) is a character appearing in american comic books published by marvel comics. created by writer-editor stan lee and designed by artist gene colan, the character first appeared in marvel super-heroes #12 (december 1967)."
155,Captain Marvel,1,Female,blue,Human-Kree,Blond,Marvel Comics,,180.0,74.0,"captain marvel is the name of several superheroes appearing in american comic books published by marvel comics. most of these versions exist in marvel's main shared universe, known as the marvel universe."
159,Captain Planet,1,Male,red,God / Eternal,Green,Marvel Comics,,183.0,83.0,"captain marvel is the name of several superheroes appearing in american comic books published by marvel comics. most of these versions exist in marvel's main shared universe, known as the marvel universe."
160,Captain Universe,1,,,God / Eternal,,Marvel Comics,,183.0,83.0,"captain marvel is the name of several superheroes appearing in american comic books published by marvel comics. most of these versions exist in marvel's main shared universe, known as the marvel universe."
161,Carnage,0,Male,green,Symbiote,Red,Marvel Comics,,185.0,86.0,"the klyntar (), colloquially and more commonly referred to as symbiotes, are a fictional species of extraterrestrial parasitic life forms appearing in american comic books published by marvel comics, most commonly in association with spider-man. the symbiotes, as their alternative name suggest, form a symbiotic bond with their hosts, through which a single entity is created."
162,Cat,1,Female,blue,,Blond,Marvel Comics,,173.0,61.0,"black cat is a character appearing in american comic books published by marvel comics. created by marv wolfman and dave cockrum, the character first appeared in the amazing spider-man #194 in july 1979 as an adversary of the superhero spider-man, although she later becomes his on-off love interest and ally."
163,Cat II,1,Female,,,,Marvel Comics,,183.0,83.0,"black cat is a character appearing in american comic books published by marvel comics. created by marv wolfman and dave cockrum, the character first appeared in the amazing spider-man #194 in july 1979 as an adversary of the superhero spider-man, although she later becomes his on-off love interest and ally."
165,Cecilia Reyes,1,,brown,,Brown,Marvel Comics,,170.0,62.0,dr. cecilia reyes is a fictional character appearing in american comic books published by marvel comics.
166,Century,1,Male,white,Alien,White,Marvel Comics,grey,201.0,97.0,"kang the conqueror (nathaniel richards) is a supervillain appearing in american comic books published by marvel comics. created by stan lee and jack kirby, the character first appeared in fantastic four #19 (october 1963) as rama-tut, before being reinvented as kang in the avengers #8 (september 1964)."
167,Cerebra,1,Female,,Mutant,,Marvel Comics,,183.0,83.0,"cannonball (samuel zachary ""sam"" guthrie) is a superhero appearing in american comic books published by marvel comics. created by writer chris claremont and artist bob mcleod, the character first appeared in marvel graphic novel #4 (september 1982)."
168,Chamber,1,Male,brown,Mutant,Brown,Marvel Comics,,175.0,63.0,"the comic book stories published by marvel comics since the 1940s have featured several fictional teams and organizations and this page lists them.


== 0–9 ==


=== 198 ===


=== 3k ===
3k is an organization appearing in american comic books published by marvel comics."
170,Changeling,0,Male,brown,,Black,Marvel Comics,,180.0,81.0,"changeling (kevin sydney) is a fictional character appearing in american comic books published by marvel comics. created by writer roy thomas and artist werner roth, the character first appeared in the x-men #35 (aug."
178,Clea,1,,,,White,Marvel Comics,,183.0,83.0,"clea strange () is a character appearing in american comic books published by marvel comics. created by stan lee and steve ditko, clea first appeared in the doctor strange feature in strange tales #126 (november 1964)."
179,Cloak,1,Male,brown,,black,Marvel Comics,,226.0,70.0,"cloak (tyrone ""ty"" johnson) and dagger (tandy bowen) are a superhero duo appearing in american comic books published by marvel comics. created by writer bill mantlo and artist ed hannigan, the characters first appeared in peter parker, the spectacular spider-man #64 (march 1982)."
184,Colossus,1,Male,silver,Mutant,Black,Marvel Comics,,226.0,225.0,"colossus (piotr nikolayevich ""peter"" rasputin; russian: пётр николаевич распутин) is a character appearing in american comic books published by marvel comics. created by writer len wein and artist dave cockrum, he first appeared in giant-size x-men #1 (may 1975)."
186,Corsair,1,Male,brown,,Brown,Marvel Comics,,191.0,79.0,"corsair (major christopher summers, usaf) is a fictional character appearing in american comic books published by marvel comics. the character is depicted as a star-faring outlaw who leads the starjammers, the father of x-men members cyclops and havok, and the supervillain vulcan, and the grandfather of cable, spider-girl, and rachel summers."
187,Cottonmouth,0,Male,brown,Human,Black,Marvel Comics,,183.0,99.0,"cornell cottonmouth (cornell stokes) is a supervillain appearing in american comic books published by marvel comics.
the character was portrayed by mahershala ali in the first season of the marvel cinematic universe television series luke cage."
188,Crimson Crusader,1,Male,blue,,Strawberry Blond,Marvel Comics,,183.0,83.0,"crimson, in comics, may refer to:"
189,Crimson Dynamo,1,Male,brown,,No Hair,Marvel Comics,,180.0,104.0,"crimson dynamo (russian: багровое динамо, bagrovoe dinamo; also красное динамо (krasnoe dinamo)) is the name of several characters appearing in american comic books published by marvel comics who have all been powered armor–wearing russian or soviet agents who have clashed with the superhero iron man over the course of his heroic career.


== publication history ==
the anton vanko incarnation of crimson dynamo first appeared in tales of suspense #46 (october 1963), and was created by writer stan lee and artist don heck."
190,Crystal,1,Female,green,Inhuman,Red,Marvel Comics,,168.0,50.0,crystal (crystalia amaquelin) is a superhero appearing in american comic books published by marvel comics. crystal first appeared in fantastic four #45 (dec.
195,Cyclops,1,Male,brown,Mutant,Brown,Marvel Comics,,191.0,88.0,"cyclops is a superhero appearing in american comic books published by marvel comics and is a founding member of the x-men. created by writer stan lee and artist/co-plotter jack kirby, the character first appeared in the comic book the x-men."
196,Cypher,1,,blue,,Blond,Marvel Comics,,175.0,68.0,"cypher (douglas aaron ""doug"" ramsey) is a character appearing in american comic books published by marvel comics. the character appears usually in the x-men family of books, in particular those featuring the new mutants, of which cypher has been a member."
197,Dagger,1,Female,blue,,Blond,Marvel Comics,,165.0,52.0,"cloak (tyrone ""ty"" johnson) and dagger (tandy bowen) are a superhero duo appearing in american comic books published by marvel comics. created by writer bill mantlo and artist ed hannigan, the characters first appeared in peter parker, the spectacular spider-man #64 (march 1982)."
200,Daredevil,1,Male,blue,Human,Red,Marvel Comics,,183.0,90.0,no data
201,Darkhawk,1,Male,brown,Human,Brown,Marvel Comics,,185.0,81.0,"darkhawk (christopher powell) is a superhero appearing in american comic books published by marvel comics. the character first appeared in darkhawk #1 (march 1991), and was created by writer tom defalco and artist mike manley."
205,Darkstar,1,Female,brown,Mutant,Blond,Marvel Comics,,168.0,56.0,"darkstar is the name of three fictional characters appearing in american comic books published by marvel comics. created by jenny blake isabella and george tuska, the laynia petrovna krylova version of darkstar first appeared in the champions #7 (august 1976)."
210,Dazzler,1,Female,blue,Mutant,Blond,Marvel Comics,,173.0,52.0,"dazzler (alison ""ali"" blaire) is a superheroine appearing in american comic books published by marvel comics, often in association with the x-men. she first appeared in uncanny x-men #130 (february 1980)."
214,Deathlok,1,Male,brown,Cyborg,Grey,Marvel Comics,,193.0,178.0,"deathlok (also referred to as deathlok the demolisher) is the name of several fictional characters appearing in american comic books published by marvel comics. the first deathlok, luther manning, appeared in astonishing tales #25 (aug."
216,Demogoblin,0,Male,red,Demon,No Hair,Marvel Comics,,185.0,95.0,"demogoblin is a fictional character appearing in american comic books published by marvel comics.


== publication history ==

demogoblin first appeared as demogoblin in web of spider-man #86 (march 1992), and had previously appeared as an unnamed demon in spectacular spider-man #147."
217,Destroyer,0,Male,,,,Marvel Comics,,188.0,383.0,"the destroyer is the name of three superheroes appearing in american comic books published by marvel comics. the original incarnation was created by writer stan lee and artist jack binder and first appeared in mystic comics #6 (october 1941), being one of lee's earliest creations during the golden age of comic books."
218,Diamondback,0,Male,brown,Human,Black,Marvel Comics,,193.0,90.0,diamondback (willis harold stryker) is a fictional character appearing in american comic books published by marvel comics. he is primarily an enemy of luke cage and is notable for being the first major supervillain that he faced.
220,Doc Samson,1,Male,blue,Human / Radiation,Green,Marvel Comics,,198.0,171.0,"doc samson (leonard skivorski jr.) is a fictional character appearing in american comic books published by marvel comics. the character is usually depicted as a superhero and psychiatrist in the marvel universe, known as a supporting character in stories featuring the hulk."
221,Doctor Doom,0,Male,brown,Human,Brown,Marvel Comics,,201.0,187.0,"doctor doom is a supervillain appearing in american comic books published by marvel comics. created by stan lee and jack kirby, the character first appeared in the fantastic four #5 (1962), and has since endured as the archenemy of the superhero team the fantastic four."
222,Doctor Doom II,0,Male,brown,,Brown,Marvel Comics,,201.0,132.0,"doctor doom is a supervillain appearing in american comic books published by marvel comics. created by stan lee and jack kirby, the character first appeared in the fantastic four #5 (1962), and has since endured as the archenemy of the superhero team the fantastic four."
224,Doctor Octopus,0,Male,brown,Human,Brown,Marvel Comics,,175.0,110.0,"doctor octopus (dr. otto octavius), also known as doc ock for short, is a fictional character appearing in american comic books published by marvel comics."
225,Doctor Strange,1,Male,grey,Human,Black,Marvel Comics,,188.0,81.0,dr. stephen vincent strange is a fictional character appearing in american comic books published by marvel comics.
226,Domino,1,Female,blue,Human,Black,Marvel Comics,white,173.0,54.0,domino (neena thurman)  is a character appearing in american comic books published by marvel comics. the character is best known as a member of the mutant team x-force.
230,Doppelganger,0,Male,white,,No Hair,Marvel Comics,,196.0,104.0,"the doppelganger, also called the spider-doppelganger, is a supervillain appearing in american comic books published by marvel comics. it is a near-mindless duplicate of spider-man with a vicious, animal-like mind who primarily acts as a servant to other villains rather than having a full will of its own."
231,Dormammu,0,Male,yellow,,No Hair,Marvel Comics,,185.0,83.0,"dormammu () is a character appearing in american comic books published by marvel comics. created by stan lee and steve ditko, the character first appeared in strange tales #126 (november 1964)."
233,Drax the Destroyer,1,Male,red,Human / Altered,No Hair,Marvel Comics,green,193.0,306.0,"drax the destroyer (arthur sampson douglas) is a character appearing in american comic books published by marvel comics. created by jim starlin, the character first appeared in the invincible iron man #55 (february 1973)."
